Member_ID,Last_Name,First_Name,Middle,State,Party
A000009,Abdnor,James,NaN,South Dakota,Republican
A000014,Abercrombie,Neil,NaN,Hawaii,Democratic
A000017,Abourezk,James,NaN,South Dakota,Democratic
A000374,Abraham,Ralph,Lee,Louisiana,Republican
A000355,Abraham,Spencer,NaN,Michigan,Republican
A000018,Abzug,Bella,NaN,New York,Democratic
A000359,Acevedo-Vila,Anibal,NaN,Puerto Rico,Democratic
A000022,Ackerman,Gary,NaN,New York,Democratic
A000370,Adams,Alma,NaN,North Carolina,Democratic
A000031,Adams,Brock,NaN,Washington,Democratic
A000366,Adams,Sandy,NaN,Florida,Republican
A000052,Addabbo,Joseph,NaN,New York,Democratic
A000055,Aderholt,Robert,B.,Alabama,Republican
A000364,Adler,John,NaN,New Jersey,Democratic
A000371,Aguilar,Pete,NaN,California,Democratic
A000062,Aiken,George,NaN,Vermont,Republican
A000069,Akaka,Daniel,K.,Hawaii,Democratic
A000358,Akin,W.,Todd,Missouri,Republican
A000073,Albert,Carl,NaN,Oklahoma,Democratic
A000076,Albosta,Donald,J.,Michigan,Democratic
A000103,Alexander,Bill,NaN,Arkansas,Democratic
A000360,Alexander,Lamar,NaN,Tennessee,Republican
A000361,Alexander,Rodney,NaN,Louisiana,Republican
A000109,Allard,Wayne,NaN,Colorado,Republican
A000118,Allen,Clifford,R.,Tennessee,Democratic
A000121,Allen,George,NaN,Virginia,Republican
A000127,Allen,James,B.,Alabama,Democratic
A000139,Allen,Maryon,NaN,Alabama,Democratic
A000372,Allen,Rick,W.,Georgia,Republican
A000357,Allen,Thomas,H.,Maine,Democratic
A000376,Allred,Colin,Z.,Texas,Democratic
A000362,Altmire,Jason,NaN,Pennsylvania,Democratic
A000367,Amash,Justin,NaN,Michigan,Libertarian
A000170,Ambro,Jerome,NaN,New York,Democratic
A000177,Ammerman,Joseph,S.,Pennsylvania,Democratic
A000369,Amodei,Mark,E.,Nevada,Republican
A000189,Anderson,Glenn,M.,California,Democratic
A000195,Anderson,John,B.,Illinois,Republican
A000202,Anderson,Wendell,R.,Minnesota,Democratic
A000207,Andrews,Ike,NaN,North Carolina,Democratic
A000208,Andrews,Mark,NaN,North Dakota,Republican
A000209,Andrews,Michael,NaN,Texas,Democratic
A000210,Andrews,Robert,NaN,New Jersey,Democratic
A000211,Andrews,Thomas,H.,Maine,Democratic
A000212,Annunzio,Frank,NaN,Illinois,Democratic
A000213,Anthony,"Beryl,",Jr.,Arkansas,Democratic
A000214,Applegate,Douglas,NaN,Ohio,Democratic
A000215,Archer,Bill,NaN,Texas,Republican
A000363,Arcuri,Michael,NaN,New York,Democratic
A000216,Arends,Leslie,C.,Illinois,Republican
A000217,Armey,Richard,K.,Texas,Republican
A000377,Armstrong,Kelly,NaN,North Dakota,Republican
A000219,Armstrong,William,L.,Colorado,Republican
A000375,Arrington,Jodey,C.,Texas,Republican
A000220,Ashbrook,Jean,NaN,Ohio,Republican
A000221,Ashbrook,John,M.,Ohio,Republican
A000356,Ashcroft,John,NaN,Missouri,Republican
A000373,Ashford,Brad,NaN,Nebraska,Democratic
A000222,Ashley,Thomas,L.,Ohio,Democratic
A000224,Aspin,Les,NaN,Wisconsin,Democratic
A000226,Atkins,Chester,G.,Massachusetts,Democratic
A000329,Atkinson,Eugene,V.,Pennsylvania,Democratic
A000337,AuCoin,Les,NaN,Oregon,Democratic
