Committee,SubCommittee,C_First_Name,C_Last_Name,C_Party,C_Party_Name,State_Abbrv,R_First_Name,R_Last_Name,RM_Party,R_Party_Name,State,Chair_Names,Ranking_Members
Committee,"Agriculture, Nutrition and Forestry",Pat,Roberts,R,Republican,MI,Debbie,Stabenow,D,Democrat,Michigan,Pat Roberts,Debbie Stabenow
SubCommittee,"Commodities, Risk Management and Trade",John,Boozman,R,Republican,OH,Sherrod,Brown,D,Democrat,Ohio,John Boozman,Sherrod Brown
SubCommittee,"Conservation, Forestry and Natural Resources",Mike,Braun,R,Republican,CO,Michael,Bennet,D,Democrat,Colorado,Mike Braun,Michael Bennet
SubCommittee,"Livestock, Marketing and Agriculture Security",Cindy,Hyde-Smith,R,Republican,NY,Kirsten,Gillibrand,D,Democrat,New York,Cindy Hyde-Smith,Kirsten Gillibrand
SubCommittee,"Nutrition, Agricultural Research and Specialty Crops",Deb,Fischer,R,Republican,PA,Bob,Casey,D,Democrat,Pennsylvania,Deb Fischer,Bob Casey
SubCommittee,Rural Development and Energy,Joni,Ernst,R,Republican,MN,Tina,Smith,D,Democrat,Minnesota,Joni Ernst,Tina Smith
Committee,Appropriations,Richard,Shelby,R,Republican,VT,Patrick,Leahy,D,Democrat,Vermont,Richard Shelby,Patrick Leahy
SubCommittee,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies",John,Hoeven,R,Republican,OR,Jeff,Merkley,D,Democrat,Oregon,John Hoeven,Jeff Merkley
SubCommittee,"Commerce, Justice, Science and Related Agencies",Jerry,Moran,R,Republican,NH,Jeanne,Shaheen,D,Democrat,New Hampshire,Jerry Moran,Jeanne Shaheen
SubCommittee,Defense,Richard,Shelby,R,Republican,IL,Dick,Durbin,D,Democrat,Illinois,Richard Shelby,Dick Durbin
SubCommittee,Energy and Water Development,Lamar,Alexander,R,Republican,CA,Dianne,Feinstein,D,Democrat,California,Lamar Alexander,Dianne Feinstein
SubCommittee,Financial Services and General Government,John,Kennedy,R,Republican,DE,Chris,Coons,D,Democrat,Delaware,John Kennedy,Chris Coons
SubCommittee,Homeland Security,ShelleyMoore,Capito,R,Republican,MT,Jon,Tester,D,Democrat,Montana,ShelleyMoore Capito,Jon Tester
SubCommittee,"Interior, Environment and Related Agencies",Lisa,Murkowski,R,Republican,NM,Tom,Udall,D,Democrat,New Mexico,Lisa Murkowski,Tom Udall
SubCommittee,"Labor, Health and Human Services, Education and Related Agencies",Roy,Blunt,R,Republican,WA,Patty,Murray,D,Democrat,Washington,Roy Blunt,Patty Murray
SubCommittee,Legislative Branch,Cindy,Hyde-Smith,R,Republican,CT,Chris,Murphy,D,Democrat,Connecticut,Cindy Hyde-Smith,Chris Murphy
SubCommittee,"Military Construction, Veterans Affairs and Related Agencies",John,Boozman,R,Republican,HI,Brian,Schatz,D,Democrat,Hawaii,John Boozman,Brian Schatz
SubCommittee,"State, Foreign Operations and Related Programs",Lindsey,Graham,R,Republican,VT,Patrick,Leahy,D,Democrat,Vermont,Lindsey Graham,Patrick Leahy
SubCommittee,"Transportation, Housing and Urban Development and Related Agencies",Susan,Collins,R,Republican,RI,Jack,Reed,D,Democrat,Rhode Island,Susan Collins,Jack Reed
Committee,Armed Services,Jim,Inhofe,R,Republican,RI,Jack,Reed,D,Democrat,Rhode Island,Jim Inhofe,Jack Reed
