year,state,state_po,candidate,party,candidatevotes,writein,totalvotes
2014,Alabama,AL,Write in,No Party,22484,True,818090
2014,Alabama,AL,Jeff Sessions,Republican,795606,False,818090
2014,Alaska,AK,Write in,No Party,1376,True,282400
2014,Alaska,AK,Mark Begich,Democrat,129431,False,282400
2014,Alaska,AK,Mark S. Fish,Libertarian,10512,False,282400
2014,Alaska,AK,Ted Gianoutsos,nonaffiliated,5636,False,282400
2014,Alaska,AK,Dan Sullivan,Republican,135445,False,282400
2014,Arkansas,AR,Tom Cotton,Republican,478819,False,847505
2014,Arkansas,AR,Mark L. Pryor,Democrat,334174,False,847505
2014,Arkansas,AR,Mark H. Swaney,green,16797,False,847505
2014,Arkansas,AR,Nathan LaFrance,Libertarian,17210,False,847505
2014,Arkansas,AR,Write in,No Party,505,True,847505
2014,Colorado,CO,Ra_l Acosta,unaffiliated,24151,False,2041058
2014,Colorado,CO,Write in,No Party,21,True,2041058
2014,Colorado,CO,Cory Gardner,Republican,983891,False,2041058
2014,Colorado,CO,Gaylon Kent,Libertarian,52876,False,2041058
2014,Colorado,CO,Write in,No Party,17,True,2041058
2014,Colorado,CO,Bill Hammons,unity party of colorado,6427,False,2041058
2014,Colorado,CO,Steve Shogan,unaffiliated,29472,False,2041058
2014,Colorado,CO,Mark Udall,Democrat,944203,False,2041058
2014,Delaware,DE,Kevin Wade,Republican,98823,False,234038
2014,Delaware,DE,Christopher A. Coons,Democrat,130655,False,234038
2014,Delaware,DE,Andrew Groff,green,4560,False,234038
2014,Georgia,GA,David A. Perdue,Republican,1358088,False,2567805
2014,Georgia,GA,Write in,No Party,14,True,2567805
2014,Georgia,GA,M. Michelle Nunn,Democrat,1160811,False,2567805
2014,Georgia,GA,Write in,No Party,9,True,2567805
2014,Georgia,GA,Amanda C. Swafford,Libertarian,48862,False,2567805
2014,Georgia,GA,Write in,No Party,21,True,2567805
2014,Hawaii,HI,Blank Vote,No Party,15777,False,369703
2014,Hawaii,HI,Cam Cavasso,Republican,98006,False,369703
2014,Hawaii,HI,Michael Kokoski,Libertarian,8941,False,369703
2014,Hawaii,HI,Brian Schatz,Democrat,246827,False,369703
2014,Hawaii,HI,Over Vote,No Party,152,False,369703
2014,Idaho,ID,Nels Mitchell,Democrat,151574,False,437170
2014,Idaho,ID,James E. Risch,Republican,285596,False,437170
2014,Illinois,IL,Richard J. Durbin,Democrat,1929637,False,3603519
2014,Illinois,IL,Sharon Hansen,Libertarian,135316,False,3603519
2014,Illinois,IL,"James D. ""Jim"" Oberweis",Republican,1538522,False,3603519
2014,Illinois,IL,Write in,No Party,12,True,3603519
2014,Illinois,IL,Write in,No Party,1,True,3603519
2014,Illinois,IL,Write in,No Party,31,True,3603519
2014,Iowa,IA,Douglas Butzier,Libertarian,8232,False,1129700
2014,Iowa,IA,Rick Stewart,independent,26815,False,1129700
2014,Iowa,IA,Write in,No Party,1111,True,1129700
2014,Iowa,IA,Bob Quast,bob quast for term limits,5873,False,1129700
