"Representative","Office Running For","Total Raised"
"WarrenElizabeth Warren (D-Mass) ","Massachusetts Senate","$45964247"
"McConnellMitch McConnell (R-Ky)*","Kentucky Senate","$30845825"
"FrankenAl Franken (D-Minn)*","Minnesota Senate","$30770856"
"RubioMarco Rubio (R-Fla) ","Florida Senate","$30554421"
"GillibrandKirsten Gillibrand (D-NY) ","New York Senate","$30322285"
"ToomeyPat Toomey (R-Pa) ","Pennsylvania Senate","$26610308"
"SchumerCharles E. Schumer (D-NY) ","New York Senate","$25578359"
"BrownSherrod Brown (D-Ohio) ","Ohio Senate","$25406082"
"HaganKay R. Hagan (D-NC)*","North Carolina Senate","$24849812"
"ReidHarry Reid (D-Nev) ","Nevada Senate","$23812691"
"McCainJohn McCain (R-Ariz) ","Arizona Senate","$21581038"
"McCaskillClaire McCaskill (D-Mo) ","Missouri Senate","$21055467"
"UdallMark Udall (D-Colo)*","Colorado Senate","$20559471"
"LandrieuMary L. Landrieu (D-La)*","Louisiana Senate","$20015536"
"PortmanRob Portman (R-Ohio) ","Ohio Senate","$19137106"
"KaineTim Kaine (D-Va) ","Virginia Senate","$19044379"
"JohnsonRon Johnson (R-Wis) ","Wisconsin Senate","$18631193"
"MarkeyEd Markey (D-Mass)*","Massachusetts Senate","$18624052"
"CruzTed Cruz (R-Texas) ","Texas Senate","$18383145"
"KirkMark Kirk (R-Ill) ","Illinois Senate","$17966562"
"BookerCory Booker (D-NJ)*","New Jersey Senate","$17718139"
"CornynJohn Cornyn (R-Texas)*","Texas Senate","$17223563"
"WarnerMark Warner (D-Va)*","Virginia Senate","$17098544"
"MenendezRobert Menendez (D-NJ) ","New Jersey Senate","$16754724"
"MurrayPatty Murray (D-Wash) ","Washington Senate","$16694426"
"ShaheenJeanne Shaheen (D-NH)*","New Hampshire Senate","$16515174"
"NelsonBill Nelson (D-Fla) ","Florida Senate","$16172400"
"BluntRoy Blunt (R-Mo) ","Missouri Senate","$16022045"
"BaldwinTammy Baldwin (D-Wis) ","Wisconsin Senate","$16007429"
"BennetMichael F. Bennet (D-Colo) ","Colorado Senate","$15760874"
"CaseyBob Casey (D-Pa) ","Pennsylvania Senate","$14681759"
"StabenowDebbie Stabenow (D-Mich) ","Michigan Senate","$14161784"
"PaulRand Paul (R-Ky) ","Kentucky Senate","$14009888"
"TesterJon Tester (D-Mont) ","Montana Senate","$13930410"
"BoxerBarbara Boxer (D-Calif) ","California Senate","$13906926"
"CantwellMaria Cantwell (D-Wash) ","Washington Senate","$12684881"
"CorkerBob Corker (R-Tenn) ","Tennessee Senate","$12590156"
"PryorMark Pryor (D-Ark)*","Arkansas Senate","$12528098"
"MerkleyJeff Merkley (D-Ore)*","Oregon Senate","$12018377"
"ThuneJohn Thune (R-SD) ","South Dakota Senate","$11985182"
"FeinsteinDianne Feinstein (D-Calif) ","California Senate","$11887918"
"HatchOrrin G. Hatch (R-Utah) ","Utah Senate","$11510331"
"VitterDavid Vitter (R-La) ","Louisiana Senate","$11438682"
"MurphyChristopher S. Murphy (D-Conn) ","Connecticut Senate","$11197394"
"GrahamLindsey Graham (R-SC)*","South Carolina Senate","$11056889"
"BegichMark Begich (D-Alaska)*","Alaska Senate","$10977987"
"DurbinDick Durbin (D-Ill)*","Illinois Senate","$10320048"
"HellerDean Heller (R-Nev) ","Nevada Senate","$10296690"
"BlumenthalRichard Blumenthal (D-Conn) ","Connecticut Senate","$10173295"
"KlobucharAmy Klobuchar (D-Minn) ","Minnesota Senate","$10070791"
"ManchinJoe Manchin (D-WVa) ","West Virginia Senate","$9949737"
"WydenRon Wyden (D-Ore) ","Oregon Senate","$9808752"
"CoonsChris Coons (D-Del)*","Delaware Senate","$9676246"
"FlakeJeff Flake (R-Ariz) ","Arizona Senate","$9504266"
"IsaksonJohnny Isakson (R-Ga) ","Georgia Senate","$9422559"
"BurrRichard Burr (R-NC) ","North Carolina Senate","$8910533"
"AyotteKelly Ayotte (R-NH) ","New Hampshire Senate","$8656729"
"UdallTom Udall (D-NM)*","New Mexico Senate","$8441116"
"AlexanderLamar Alexander (R-Tenn)*","Tennessee Senate","$8201067"
"SandersBernie Sanders (I-Vt) ","Vermont Senate","$8173915"
"RobertsPat Roberts (R-Kan)*","Kansas Senate","$8040544"
"CochranThad Cochran (R-Miss)*","Mississippi Senate","$7388054"
"HeinrichMartin Heinrich (D-NM) ","New Mexico Senate","$7311487"
"CardinBen Cardin (D-Md) ","Maryland Senate","$6838962"
"ScottTim Scott (R-SC)*","South Carolina Senate","$6809517"
"DonnellyJoe Donnelly (D-Ind) ","Indiana Senate","$6797423"
