Committee,SubCommittee,C_First_Name,C_Last_Name,C_Party,State_Abbrv,Chair_Names,State,C_Party_Name
Committee,"Agriculture, Nutrition and Forestry",Pat,Roberts,R,MI,Pat Roberts,Michigan,Republican
SubCommittee,"Commodities, Risk Management and Trade",John,Boozman,R,OH,John Boozman,Ohio,Republican
SubCommittee,"Conservation, Forestry and Natural Resources",Mike,Braun,R,CO,Mike Braun,Colorado,Republican
SubCommittee,"Livestock, Marketing and Agriculture Security",Cindy,Hyde-Smith,R,NY,Cindy Hyde-Smith,New York,Republican
SubCommittee,"Nutrition, Agricultural Research and Specialty Crops",Deb,Fischer,R,PA,Deb Fischer,Pennsylvania,Republican
SubCommittee,Rural Development and Energy,Joni,Ernst,R,MN,Joni Ernst,Minnesota,Republican
Committee,Appropriations,Richard,Shelby,R,VT,Richard Shelby,Vermont,Republican
SubCommittee,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies",John,Hoeven,R,OR,John Hoeven,Oregon,Republican
SubCommittee,"Commerce, Justice, Science and Related Agencies",Jerry,Moran,R,NH,Jerry Moran,New Hampshire,Republican
SubCommittee,Defense,Richard,Shelby,R,IL,Richard Shelby,Illinois,Republican
SubCommittee,Energy and Water Development,Lamar,Alexander,R,CA,Lamar Alexander,California,Republican
SubCommittee,Financial Services and General Government,John,Kennedy,R,DE,John Kennedy,Delaware,Republican
SubCommittee,Homeland Security,ShelleyMoore,Capito,R,MT,ShelleyMoore Capito,Montana,Republican
SubCommittee,"Interior, Environment and Related Agencies",Lisa,Murkowski,R,NM,Lisa Murkowski,New Mexico,Republican
SubCommittee,"Labor, Health and Human Services, Education and Related Agencies",Roy,Blunt,R,WA,Roy Blunt,Washington,Republican
SubCommittee,Legislative Branch,Cindy,Hyde-Smith,R,CT,Cindy Hyde-Smith,Connecticut,Republican
SubCommittee,"Military Construction, Veterans Affairs and Related Agencies",John,Boozman,R,HI,John Boozman,Hawaii,Republican
SubCommittee,"State, Foreign Operations and Related Programs",Lindsey,Graham,R,VT,Lindsey Graham,Vermont,Republican
SubCommittee,"Transportation, Housing and Urban Development and Related Agencies",Susan,Collins,R,RI,Susan Collins,Rhode Island,Republican
Committee,Armed Services,Jim,Inhofe,R,RI,Jim Inhofe,Rhode Island,Republican
SubCommittee,Airland,Tom,Cotton,R,ME,Tom Cotton,Maine,Republican
SubCommittee,Cybersecurity,Mike,Rounds,R,WV,Mike Rounds,West Virginia,Republican
SubCommittee,Emerging Threats and Capabilities,Joni,Ernst,R,MI,Joni Ernst,Michigan,Republican
SubCommittee,Personnel,Thom,Tillis,R,NY,Thom Tillis,New York,Republican
SubCommittee,Readiness and Management Support,Dan,Sullivan,R,VA,Dan Sullivan,Virginia,Republican
SubCommittee,Seapower,David,Perdue,R,HI,David Perdue,Hawaii,Republican
SubCommittee,Strategic Forces,Deb,Fischer,R,NM,Deb Fischer,New Mexico,Republican
Committee,"Banking, Housing and Urban Affairs",Mike,Crapo,R,OH,Mike Crapo,Ohio,Republican
SubCommittee,Economic Policy,Tom,Cotton,R,NV,Tom Cotton,Nevada,Republican
SubCommittee,Financial Institutions and Consumer Protection,Tim,Scott,R,MA,Tim Scott,Massachusetts,Republican
SubCommittee,"Housing, Transportation and Community Development",David,Perdue,R,NJ,David Perdue,New Jersey,Republican
SubCommittee,National Security and International Trade and Finance,Ben,Sasse,R,VA,Ben Sasse,Virginia,Republican
SubCommittee,"Securities, Insurance and Investment",Pat,Toomey,R,MD,Pat Toomey,Maryland,Republican
Committee,Budget,Mike,Enzi,R,VT,Mike Enzi,Vermont,Republican
