Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes
Republican,Jeff Sessions,Sessions,Jeff,AL,795606,Alabama,818090
Republican,Dan Sullivan,Sullivan,Dan,AK,135445,Alaska,282400
Republican,Tom Cotton,Cotton,Tom,AR,478819,Arkansas,847505
Republican,Cory Gardner,Gardner,Cory,CO,983891,Colorado,2041058
Republican,Kevin Wade,Wade,Kevin,DE,98823,Delaware,234038
Republican,David A. Perdue,Perdue,David,GA,1358088,Georgia,2567805
Republican,Cam Cavasso,Cavasso,Cam,HI,98006,Hawaii,369703
Republican,James E. Risch,Risch,James,ID,285596,Idaho,437170
Republican,"James D. ""Jim"" Oberweis",Oberweis,James,IL,1538522,Illinois,3603519
Republican,Joni Ernst,Ernst,Joni,IA,588575,Iowa,1129700
Republican,Pat Roberts,Roberts,Pat,KS,460350,Kansas,866191
Republican,Mich McConnell,McConnell,Mich,KY,806787,Kentucky,1435868
Republican,Bill Cassidy,Cassidy,Bill,LA,1712379,Louisiana,3523183
Republican,Thomas Clements,Clements,Thomas,LA,14173,Louisiana,3523183
Republican,"""Rob"" Maness",Maness,"""Rob""",LA,202556,Louisiana,3523183
Republican,Susan M. Collins,Collins,Susan,ME,413505,Maine,616996
Republican,Brian J. Herr,Herr,Brian,MA,791950,Massachusetts,2186789
Republican,Terri Lynn Land,Land,Terri,MI,1290199,Michigan,3121771
Republican,Mike McFadden,McFadden,Mike,MN,850227,Minnesota,1981528
Republican,Thad Cochran,Cochran,Thad,MS,378481,Mississippi,631858
Republican,Steve Daines,Daines,Steve,MT,213709,Montana,369826
Republican,Ben Sasse,Sasse,Ben,NE,347636,Nebraska,540337
Republican,Scott P. Brown,Brown,Scott,NH,235347,New Hampshire,488159
Republican,Jeff Bell,Bell,Jeff,NJ,791297,New Jersey,1869535
Republican,Allen E. Weh,Weh,Allen,NM,229097,New Mexico,515506
Republican,Thom Tillis,Tillis,Thom,NC,1423259,North Carolina,2915281
Republican,James M. Inhofe,Inhofe,James,OK,558166,Oklahoma,820733
Republican,James Lankford,Lankford,James,OK,557002,Oklahoma,820890
Republican,Monica Wehby,Wehby,Monica,OR,538847,Oregon,1461618
Republican,Mark S. Zaccaria,Zaccaria,Mark,RI,92684,Rhode Island,316898
Republican,Lindsey Graham,Graham,Lindsey,SC,672941,South Carolina,1240075
Republican,Tim Scott,Scott,Tim,SC,757215,South Carolina,1238982
Republican,Mike Rounds,Rounds,Mike,SD,140741,South Dakota,279412
Republican,Lamar Alexander,Alexander,Lamar,TN,850087,Tennessee,1374065
Republican,John Cornyn,Cornyn,John,TX,2861531,Texas,4648358
Republican,Ed. W. Gillespie,Gillespie,Ed.,VA,1055940,Virginia,2184473
Republican,Shelley Moore Capito,Capito,Shelley,WV,281820,West Virginia,453689
Republican,Michael B. Enzi,Enzi,Michael,WY,121554,Wyoming,171153
