Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes,Committee,Contributions,Election_Year,Assumed_Office
Republican,Pat Roberts,Roberts,Pat,KS,460350,Kansas,866191,"Agriculture, Nutrition and Forestry",8040544,2014,1997
Republican,James M. Inhofe,Inhofe,James,OK,558166,Oklahoma,820733,Armed Services,4841285,2014,1994
Republican,Michael B. Enzi,Enzi,Michael,WY,121554,Wyoming,171153,Budget,3772045,2014,1997
Republican,James E. Risch,Risch,James,ID,285596,Idaho,437170,Foreign Relations,2902855,2014,2009
Republican,Lamar Alexander,Alexander,Lamar,TN,850087,Tennessee,1374065,"Health, Education, Labor and Pensions",8201067,2014,2003
Republican,Lindsey Graham,Graham,Lindsey,SC,672941,South Carolina,1240075,Judiciary,11056889,2014,2003
Republican,Richard C. Shelby,Shelby,Richard,AL,1335104,Alabama,2087444,Appropriations,4890271,2016,1987
Republican,Mike Crapo,Crapo,Mike,ID,449017,Idaho,678943,"Banking, Housing and Urban Affairs",5875081,2016,1999
Republican,Lisa Murkowski,Murkowski,Lisa,AK,138149,Alaska,311441,Energy and Natural Resources,6058418,2016,2002
Republican,Chuck Grassley,Grassley,Chuck,IA,926007,Iowa,1541036,Finance,9828566,2016,1981
Republican,Roy Blunt,Blunt,Roy,MO,1378458,Missouri,2802641,Rules and Administration,15893492,2016,2011
Republican,Marco Rubio,Rubio,Marco,FL,4835191,Florida,9301820,Small Business and Entrepreneurship,25254738,2016,2011
Republican,Jerry Moran,Moran,Jerry,KS,732376,Kansas,1177922,Veterans' Affairs,6617848,2016,2007
Republican,Roger F. Wicker,Wicker,Roger,MS,547619,Mississippi,1843803,"Commerce, Science and Transportation",6568817,2018,2007
Republican,John Barrasso,Barrasso,John,WY,136210,Wyoming,203420,Environment and Public Works,7380997,2018,2019
Republican,Ron Johnson,Johnson,Ron,WI,1125999,Wisconsin,2171331,Homeland Security and Governmental Affairs,18631193,2014,2011
